ID	Access Level and Types										Provenance of Nodes and Edges														Documented standards, schema, construction										Update frequency and versioning										Evaluation - Metrics and Fitness for Purpose										License Information
	access_otherthanKG_text	access_otherthanKG	api_or_online_access_text	api_or_online_access	multi_access_options_text	multi_access_options	sourcecode_available_text	sourcecode_available	downloadable_KG_text	downloadable_KG	source_list_provided_text	source_list_provided	source_versions_info_text	source_versions_info	import_dependancies_text	import_dependancies	node_edge_sources_text	node_edge_sources	edges_deduplication_text	edges_deduplication	triples_source_details_text	triples_source_details	edge_type_schema_text	edge_type_schema	bio_usable_data_text	bio_usable_data	resolvable_ids_text	resolvable_ids	construction_docs_text	construction_docs	transform_docs_text	transform_docs	schema_used_text	schema_used	stable_versions_text	stable_versions	public_tracker_text	public_tracker	kg_contact_info_text	kg_contact_info	updated_annually_text	updated_annually	prior_versions_access_text	prior_versions_access	use_case_provided_text	use_case_provided	eval_against_others_text	eval_against_others	defined_scope_text	defined_scope	multi_eval_methods_text	multi_eval_methods	accuracy_metrics_text	accuracy_metrics	License_text
kg-alzheimers		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-covid-19		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-ebi-gene2pheno		Y		N		Y		Y		N		Y		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-enp		Y		N		N		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-idg		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-jensenlab-diseases		Y		N		Y		Y		N		Y		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-microbe		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
kg-predict		Y		N		Y		N		Y		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
knowwheregraph		Y		Y		Y		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
lncrnalyzr		Y		Y		Y		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
mangal		Y		Y		Y		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
mechreponet		Y		N		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		N		Y		Y		Y		N		Y		N		N	
medkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
mgmlink		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
microbiomekg		Y		Y		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
mind		Y		N		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
molecular-data-kp		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
multiomics-kp		N		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
namsnetwork		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
nasa-gesdisc-kg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
nde		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
nikg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
nlm-ckn		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
np-kg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
ontology-kp		N		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
openbiodiv		Y		Y		Y		Y		N		Y		N		Y		Y		N		Y		Y		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
opentargets		Y		Y		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
reprotox-kg		Y		Y		Y		Y		Y		N		N		N		N		N		N		Y		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
rna-kg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
ruralkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
sawgraph		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
scales		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
securechainkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
semopenalex		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
service-kp		N		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
skm		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
sldb		Y		N		N		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
sockg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
spatialkg		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
spoke-genelab		Y		N		N		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
sri-reference-kg		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
sudokn		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
suppkg		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
tera		Y		Y		Y		Y		Y		Y		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
text-mining-kp		Y		N		N		N		N		N		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
toxin		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
ubergraph		Y		N		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
ubkg		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
uf-okn		Y		N		N		Y		N		N		N		N		N		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
wikidata		Y		Y		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		N		Y		Y		Y		Y		N		Y		N		N	
wildlifekn		Y		N		N		N		N		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		Y		N		N		Y		N		Y		N		N	
cam-kp		Y		Y		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		Y		Y		Y		Y		Y		N		Y		N		N	
pharmdb		Y		Y		Y		N		Y		Y		N		Y		Y		N		N		N		Y		N		N		N		N		N		N		N		N		N		Y		N		Y		N		N	
rdbridge		Y		Y		Y		Y		Y		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		N		Y		Y		Y		Y		N		Y		N		N	
redrugs		Y		N		Y		Y		N		Y		N		Y		Y		N		N		N		Y		Y		N		N		N		Y		N		N		Y		Y		Y		N		Y		N		N	

